id,warehouse_id,english,taxon,description,CR,DE,PL,ES,,,,,,,,,,,,,,,,,
1,-1,Algerian hedgehog,Atelerix algirus,"Relatively small with a white face, brown legs and a white or brown underbelly, highly visible, large ears and lack of spines on the crown of the head",,,,Erizo moruno,,,,,,,,,,,,,,,,,
2,-1,Western hedgehog,Erinaceus europaeus ,Largest species of hedgehog and mostly brown in colour,Tamnoprsi jež,Igel (Westigel),Jeż zachodni,Erizo europeo,,,,,,,,,,,,,,,,,
3,-1,Eastern hedgehog,Erinaceus concolor ,Similar to Western hedgehog but identifiable by a white spot on its chest,Bjeloprsi jež,Weißbrustigel,,,,,,,,,,,,,,,,,,,
4,-1,European rabbit,Oryctolagus cuniculus,"Relatively small with grey-brown coat, a brown chest patch and white-grey underbelly, lacks black ear-tips and has proportionately shorter legs",Kunić,Kaninchen,Królik europejski,Conejo,,,,,,,,,,,,,,,,,
5,-1,Broom hare,Lepus castroviejoi,"Brown and black back and white underbelly, black tail with white underside, brown-gray ears usually with black tips",,,,Liebre de piornal,,,,,,,,,,,,,,,,,
6,-1,Brown hare,Lepus europaeus,"Golden-brown back and a pale belly, white tail, relatively longer legs and ears with distinctive black tips", Zec obični (Europski zec ),Europäischer Feldhase,zając szarak,Liebre europea,,,,,,,,,,,,,,,,,
7,-1,Mountain hare,Lepus timidus,"Grey-brown coat in summer, white coat in winter, black-tipped ears, shorter ears than other hares",,Schneehase,zając bielak,,,,,,,,,,,,,,,,,,
8,-1,Granada hare,Lepus granatensis,"Brown or grey-brown back and a paler underbelly, black-tipped ears and black upper tail",,,,Liebre ibérica,,,,,,,,,,,,,,,,,
9,-1,Red squirrel,Sciurus vulgaris ,"Red-brown coat and pale underbelly with a bushy tail, large ear tufts",Crvena vjeverica,Eichhörnchen,Wiewiórka pospolita,Ardilla roja,,,,,,,,,,,,,,,,,
10,-1,Barbary ground squirrel,Atlantoxerus getulus,"Grey-brown or red-brown back and pale grey underbelly, white stripe running along each side and sometimes another along the spine",,,,Ardilla moruna,,,,,,,,,,,,,,,,,
11,-1,Spotted souslik,Spermophilus suslicus ,"Relatively small with dark-brown fur, white spots on its back and a short, thin tail",,,Suseł perełkowany ,,,,,,,,,,,,,,,,,,
